sensor_name,source_address,timestamp,mean_rssi,count
A01,5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,2024-04-09T19:18:53Z,-71,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:53Z,-78.3333333333333,15
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:53Z,-70,2
A01,35e2b645781fceedde5db10b4c6415b62c2b652b64079c9d0f2b09c9fc0099ed,2024-04-09T19:18:53Z,-75,1
A01,367e14cf6804dbf2922703b2dd44fc406516954435b8eff628341f08f4922430,2024-04-09T19:18:53Z,-76,2
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:18:54Z,-31,3
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:54Z,-69.7179487179487,39
A01,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,2024-04-09T19:18:54Z,-31,2
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:54Z,-78.6,20
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:54Z,-70.4358974358974,39
A01,c53c45cb8815aed2b1cc31e60a2e16bdabfd057ec0e532526c2bd0f24d417a00,2024-04-09T19:18:54Z,-71,1
A01,48333d5c9906aa0c58abb718e164be1f76605fbd7ed08cd7bd43fe03778aa934,2024-04-09T19:18:54Z,-69,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:55Z,-77.4,5
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:56Z,-77,4
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:56Z,-71,1
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:18:56Z,-76.8181818181818,11
A01,35e2b645781fceedde5db10b4c6415b62c2b652b64079c9d0f2b09c9fc0099ed,2024-04-09T19:18:56Z,-77,1
A01,d605e6d9b99d8a6def28e3b9a9606665000569b18954d1a965c33a695b0e0fb4,2024-04-09T19:18:56Z,-55,1
A01,ba1f6e61d352f6b70d7a5fa48c0aa16e90147aac583a662ce43879f1252ca3ec,2024-04-09T19:18:56Z,-77,1
A01,35e2b645781fceedde5db10b4c6415b62c2b652b64079c9d0f2b09c9fc0099ed,2024-04-09T19:18:57Z,-77,2
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:18:58Z,-41,3
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:18:58Z,-74.1428571428572,7
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:58Z,-69,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:59Z,-70,2
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:18:59Z,-77.5,12
A01,ae3d8b443d0acc1f0544c3eb043ad8df6499af41d57a05130e3e3e97221e1878,2024-04-09T19:19:00Z,-73,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:00Z,-69.6666666666667,3
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:01Z,-79,4
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:01Z,-69,1
A01,20da938fcce33d666d32f0559ed54f92b94c5c74290d8ec06cc534ee9941cdbe,2024-04-09T19:19:02Z,-79,1
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:19:02Z,-71,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:03Z,-73,1
A01,01f37d672ab24e5b1efc9eb702b837b79ed01b5e16a8b956a258f48371d51cf6,2024-04-09T19:19:03Z,-38.6,5
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:19:03Z,-70.6666666666667,6
A01,4d7f68147b3936f93a3c57057c4ad075afb1e8f01b754d18c6ac4e24339e4a28,2024-04-09T19:19:03Z,-75,1
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:19:03Z,-73.4,5
A01,4467a178ccd2b3cdb9e36c88c054dbc7e944347a0cef8429c694b027e29bbd6c,2024-04-09T19:19:03Z,-75,1
A01,f773bcd074613d7efb5bcdb2209fc52a194a535e32b64d03c2ad7d270342e496,2024-04-09T19:19:03Z,-71,1
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:19:04Z,-72.1111111111111,9
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:19:04Z,-68.1111111111111,9
A01,4d7f68147b3936f93a3c57057c4ad075afb1e8f01b754d18c6ac4e24339e4a28,2024-04-09T19:19:04Z,-69,2
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:19:04Z,-78,2
